,ano_x,tipo_eleicao,sigla_uf,id_municipio,id_municipio_tse,id_candidato_bd,sequencial_candidato,numero,nome,nome_urna,numero_partido,sigla_partido,cargo,situacao,ocupacao,data_nascimento,idade,genero,instrucao,estado_civil,nacionalidade,sigla_uf_nascimento,municipio_nascimento,raca,resultado,fund_outro,fund_part,fund_esp
490,2020,eleicao ordinaria,MA,2104800,7935,753546.0,100001218977,18,Genézio Lopes Guajajara,Genézio Lopes,18,REDE,vice-prefeito,deferido,agricultor,1976-01-07,45,masculino,ensino medio incompleto,solteiro(a),brasileira,MA,Grajaú,indigena,,,,
491,2020,eleicao ordinaria,AM,1301951,98370,755915.0,40000750328,10666,Paru Kuniva Deni,Paru Deni,10,REPUBLICANOS,vereador,deferido,outros,1976-07-12,44,masculino,ensino fundamental completo,solteiro(a),brasileira,AM,Itamarati,indigena,suplente,,4105.3,
492,2020,eleicao ordinaria,MA,2105476,7765,757990.0,100000758199,12333,Elenice Rodrigues Machado Guajajara,India Do Arranca,12,PDT,vereador,deferido,agricultor,1983-08-06,37,feminino,ensino fundamental completo,casado(a),brasileira,MA,Jenipapo Dos Vieiras,indigena,suplente,1000.0,,
493,2020,eleicao ordinaria,PA,1505437,5959,758359.0,140001028300,90111,Bepio Kayapo,Bepio Kayapo,90,PROS,vereador,deferido,agricultor,1985-02-13,36,masculino,ensino fundamental completo,casado(a),brasileira,PA,Ourilândia Do Norte,indigena,nao eleito,2785.0,,
494,2020,eleicao ordinaria,PA,1505437,5959,758360.0,140001248605,20222,Bepkororoti Kaiapo,Beto Kaiapo,20,PSC,vereador,deferido,outros,1983-04-19,37,masculino,ensino medio completo,solteiro(a),brasileira,PA,Ourilândia Do Norte,indigena,eleito por media,2718.5,,
495,2020,eleicao ordinaria,MS,5005004,90999,758383.0,120001266028,17190,Maria Helena Almada,Delegada Almada,17,PSL,vereador,deferido,artesao,1964-07-29,56,feminino,ensino fundamental completo,solteiro(a),brasileira,MS,Bela Vista,indigena,nao eleito,,,6000.0
496,2020,eleicao ordinaria,CE,2307650,15857,759732.0,60000660076,10111,Francisco Clécio Cavalcante Da Silva,Clécio Cavalcante Pitaguary,10,REPUBLICANOS,vereador,deferido,motorista de veiculos de transporte coletivo de passageiros,1980-07-03,40,masculino,ensino medio completo,casado(a),brasileira,CE,Quixadá,indigena,suplente,,,
497,2020,eleicao ordinaria,RS,4321402,89311,760298.0,210000653664,11444,Jaine Sales,Diube,11,PP,vereador,deferido,estudante bolsista estagiario e assemelhados,1989-05-02,31,masculino,ensino superior incompleto,solteiro(a),brasileira,RS,Tenente Portela,indigena,eleito por media,1660.7,,
498,2020,eleicao ordinaria,SP,3503356,62065,761018.0,250000634805,43777,Vanilson Paulo,Vanilson,43,PV,vereador,deferido,agricultor,1977-04-30,43,masculino,ensino fundamental incompleto,casado(a),brasileira,MS,Miranda,indigena,suplente,370.0,,
499,2020,eleicao ordinaria,RS,4305801,86134,761369.0,210001242737,12121,Adriano Lopes Amantino,Adriano,12,PDT,vereador,deferido,agricultor,1986-04-27,34,masculino,ensino medio completo,solteiro(a),brasileira,RS,Nonoai,indigena,suplente,1859.0,120.0,
500,2020,eleicao ordinaria,PA,1500800,4154,762498.0,140001153309,13234,Adeli Pereira Corrêa,Adeli Goiano,13,PT,vereador,deferido,motorista de veiculos de transporte coletivo de passageiros,1977-01-02,44,masculino,ensino medio completo,solteiro(a),brasileira,TO,Gurupi,indigena,nao eleito,,,
501,2020,eleicao ordinaria,MA,2104081,7544,762532.0,100000652581,11444,Daniel Ioroky Canela,Daniel Canela,11,PP,vereador,deferido,agricultor,1976-08-15,44,masculino,ensino fundamental incompleto,solteiro(a),brasileira,MA,Barra Do Corda,indigena,nao eleito,,,
502,2020,eleicao ordinaria,AM,1302405,2518,763013.0,40001113048,43443,Edilson Rosário Paumari,Edilson Mkk,43,PV,vereador,deferido,agente administrativo,1981-05-10,39,masculino,ensino medio completo,solteiro(a),brasileira,AM,Lábrea,indigena,nao eleito,,,
503,2020,eleicao ordinaria,PA,1505304,5053,763091.0,140001230500,51333,Jaime Xamen Wai Wai,Jaime Wai Wai,51,PATRIOTA,vereador,deferido,arqueologo,1986-03-06,35,masculino,ensino superior completo,solteiro(a),brasileira,PA,Oriximiná,indigena,nao eleito,,,
504,2020,eleicao ordinaria,SP,3531100,67237,764558.0,250000681965,40004,Ana Paula Ohana Daniel,Paulete,40,PSB,vereador,deferido,aposentado (exceto servidor publico),1951-10-29,69,feminino,ensino medio completo,divorciado(a),brasileira,SP,Itanhaém,indigena,nao eleito,907.85,,344.0
505,2020,eleicao ordinaria,CE,2308609,14737,766596.0,60000783180,11333,Edvar Martins De Araújo,Professor Tanja,11,PP,vereador,deferido,servidor publico estadual,1979-05-03,41,masculino,ensino superior completo,solteiro(a),brasileira,CE,Independência,indigena,suplente,200.0,,
506,2020,eleicao ordinaria,MT,5103908,90778,767987.0,110001204153,25000,Fabio Tsitobrowe,Fabio Tsitobrowe,25,DEM,vereador,deferido,outros,1976-07-23,44,masculino,ensino medio completo,casado(a),brasileira,MT,General Carneiro,indigena,suplente,1130.0,,220.0
507,2020,eleicao ordinaria,PE,2611101,25216,769386.0,170001135432,13700,José Nilton Costa De Souza,Zenilton Taxista,13,PT,vereador,deferido,taxista,1975-03-17,46,masculino,ensino medio completo,casado(a),brasileira (naturalizada),PE,Petrolina,indigena,suplente,,,500.0
508,2020,eleicao ordinaria,AC,1200351,1040,772431.0,10000889504,90888,Lucia Kaxinaua Vianna,Lucia Kaxinaua,90,PROS,vereador,deferido,outros,1986-10-19,34,feminino,ensino fundamental incompleto,solteiro(a),brasileira,AC,Marechal Thaumaturgo,indigena,nao eleito,,,
509,2020,eleicao ordinaria,MG,3142908,48577,772565.0,130001186386,15615,Claldina Santos Teles,Claldina Teles,15,MDB,vereador,deferido,agricultor,1964-07-21,56,feminino,ensino fundamental incompleto,solteiro(a),brasileira,MG,Monte Azul,indigena,suplente,200.0,,200.0
